ltable_id,rtable_id,gold
journals/sigmod/Mackay99,304570,0
journals/sigmod/Mackay99,304569,0
journals/sigmod/Mackay99,304578,0
journals/sigmod/Mackay99,304232,0
journals/sigmod/Mackay99,304241,0
journals/sigmod/Mackay99,304218,0
journals/sigmod/Mackay99,304214,0
journals/sigmod/Mackay99,304227,0
journals/sigmod/Mackay99,304224,0
journals/sigmod/Mackay99,333609,0
journals/sigmod/Mackay99,333608,0
journals/sigmod/Mackay99,333610,0
journals/sigmod/Mackay99,333615,0
journals/sigmod/Mackay99,310063,0
journals/sigmod/Mackay99,310067,0
journals/sigmod/Mackay99,328996,0
journals/sigmod/Mackay99,309870,0
journals/sigmod/Mackay99,309852,1
journals/sigmod/Mackay99,309849,0
journals/sigmod/Mackay99,309883,0
journals/sigmod/Mackay99,309878,0
journals/sigmod/Mackay99,310061,0
journals/sigmod/Mackay99,309897,0
journals/sigmod/Mackay99,304204,0
journals/sigmod/Mackay99,304209,0
journals/sigmod/Mackay99,304203,0
journals/sigmod/Mackay99,304183,0
journals/sigmod/Mackay99,304186,0
journals/sigmod/Mackay99,344820,0
journals/sigmod/Mackay99,344825,0
journals/sigmod/Mackay99,344869,0
journals/sigmod/Mackay99,671352,0
journals/sigmod/Mackay99,671353,0
journals/sigmod/Mackay99,671356,0
journals/sigmod/Mackay99,671357,0
journals/sigmod/Mackay99,671361,0
journals/sigmod/Mackay99,671494,0
journals/sigmod/Mackay99,671495,0
journals/sigmod/Mackay99,671499,0
journals/sigmod/Mackay99,671506,0
journals/sigmod/Mackay99,671520,0
journals/sigmod/Mackay99,671528,0
journals/sigmod/Mackay99,671525,0
journals/sigmod/Mackay99,671668,0
journals/sigmod/Mackay99,671667,0
journals/sigmod/Mackay99,671661,0
journals/sigmod/Mackay99,671672,0
journals/sigmod/Mackay99,765516,0
journals/sigmod/Mackay99,765513,0
journals/sigmod/Mackay99,765512,0
journals/sigmod/Mackay99,765510,0
journals/sigmod/Mackay99,671348,0
conf/sigmod/Keim99,304219,1
conf/sigmod/Keim99,304218,0
conf/sigmod/Keim99,304217,0
conf/sigmod/Keim99,304224,0
conf/sigmod/Keim99,310063,0
conf/sigmod/Keim99,310710,0
conf/sigmod/Keim99,328959,0
conf/sigmod/Keim99,320255,0
conf/sigmod/Keim99,304204,0
conf/sigmod/Keim99,304183,0
conf/sigmod/Keim99,304184,0
conf/sigmod/Keim99,344869,0
conf/sigmod/Keim99,671516,0
conf/sigmod/Keim99,671348,0
conf/vldb/ChenCFGJMTW99,304218,0
conf/vldb/ChenCFGJMTW99,333610,0
conf/vldb/ChenCFGJMTW99,320249,0
conf/vldb/ChenCFGJMTW99,671496,1
conf/vldb/ChenCFGJMTW99,671520,0
conf/sigmod/BraumandlKK99,304582,0
conf/sigmod/BraumandlKK99,304585,0
conf/sigmod/BraumandlKK99,304573,1
conf/sigmod/BraumandlKK99,304230,0
conf/sigmod/BraumandlKK99,304246,0
conf/sigmod/BraumandlKK99,304226,0
conf/sigmod/BraumandlKK99,331984,0
conf/sigmod/BraumandlKK99,333616,0
conf/sigmod/BraumandlKK99,310071,0
conf/sigmod/BraumandlKK99,320252,0
conf/sigmod/BraumandlKK99,310062,0
conf/sigmod/BraumandlKK99,344820,0
conf/sigmod/BraumandlKK99,344825,0
conf/sigmod/BraumandlKK99,671364,0
conf/sigmod/BraumandlKK99,671511,0
conf/sigmod/BraumandlKK99,758375,0
conf/vldb/NinkHR99,304239,0
conf/vldb/NinkHR99,333609,0
conf/vldb/NinkHR99,310712,0
conf/vldb/NinkHR99,309852,0
conf/vldb/NinkHR99,671364,0
conf/vldb/NinkHR99,671661,1
conf/vldb/NinkHR99,765518,0
conf/vldb/Graefe99,304589,0
conf/vldb/Graefe99,304584,0
conf/vldb/Graefe99,304248,0
conf/vldb/Graefe99,304569,0
conf/vldb/Graefe99,304236,0
conf/vldb/Graefe99,304245,0
conf/vldb/Graefe99,304246,0
conf/vldb/Graefe99,304243,0
conf/vldb/Graefe99,304242,0
conf/vldb/Graefe99,304214,0
conf/vldb/Graefe99,304227,0
conf/vldb/Graefe99,304226,0
conf/vldb/Graefe99,331984,0
conf/vldb/Graefe99,331989,0
conf/vldb/Graefe99,333610,0
conf/vldb/Graefe99,333615,0
conf/vldb/Graefe99,333614,0
conf/vldb/Graefe99,333616,0
conf/vldb/Graefe99,310063,0
conf/vldb/Graefe99,328996,0
conf/vldb/Graefe99,328943,0
conf/vldb/Graefe99,309870,0
conf/vldb/Graefe99,309852,0
conf/vldb/Graefe99,309886,0
conf/vldb/Graefe99,309878,0
conf/vldb/Graefe99,309897,0
conf/vldb/Graefe99,304210,0
conf/vldb/Graefe99,344820,0
conf/vldb/Graefe99,344825,0
conf/vldb/Graefe99,344850,0
conf/vldb/Graefe99,344864,0
conf/vldb/Graefe99,671352,0
conf/vldb/Graefe99,671353,0
conf/vldb/Graefe99,671357,0
conf/vldb/Graefe99,671361,0
conf/vldb/Graefe99,671492,0
conf/vldb/Graefe99,671505,0
conf/vldb/Graefe99,671520,0
conf/vldb/Graefe99,671528,1
conf/vldb/Graefe99,671672,0
conf/vldb/Graefe99,758375,0
conf/vldb/Graefe99,765516,0
conf/vldb/Graefe99,765512,0
conf/vldb/Graefe99,765510,0
conf/vldb/Graefe99,671348,0
conf/vldb/JagadishKNS99,304200,0
conf/vldb/JagadishKNS99,304184,0
conf/vldb/JagadishKNS99,671501,1
journals/vldb/HarderST99,304589,0
journals/vldb/HarderST99,304583,0
journals/vldb/HarderST99,304584,0
journals/vldb/HarderST99,304235,0
journals/vldb/HarderST99,304236,0
journals/vldb/HarderST99,304232,0
journals/vldb/HarderST99,304246,0
journals/vldb/HarderST99,304244,0
journals/vldb/HarderST99,304241,0
journals/vldb/HarderST99,304242,0
journals/vldb/HarderST99,304214,0
journals/vldb/HarderST99,304227,0
journals/vldb/HarderST99,304226,0
journals/vldb/HarderST99,331984,0
journals/vldb/HarderST99,331989,0
journals/vldb/HarderST99,333615,0
journals/vldb/HarderST99,333614,0
journals/vldb/HarderST99,333616,0
journals/vldb/HarderST99,310063,0
journals/vldb/HarderST99,328996,0
journals/vldb/HarderST99,309870,0
journals/vldb/HarderST99,309852,0
journals/vldb/HarderST99,309883,0
journals/vldb/HarderST99,309878,0
journals/vldb/HarderST99,309897,0
journals/vldb/HarderST99,304210,0
journals/vldb/HarderST99,304187,0
journals/vldb/HarderST99,344820,0
journals/vldb/HarderST99,344825,0
journals/vldb/HarderST99,671352,0
journals/vldb/HarderST99,671353,0
journals/vldb/HarderST99,671361,0
journals/vldb/HarderST99,671505,0
journals/vldb/HarderST99,671520,0
journals/vldb/HarderST99,671528,0
journals/vldb/HarderST99,671672,0
journals/vldb/HarderST99,765516,1
journals/vldb/HarderST99,765512,0
journals/vldb/HarderST99,671348,0
conf/sigmod/Mohan99,304573,0
conf/sigmod/Mohan99,304230,1
conf/sigmod/Mohan99,333609,0
conf/sigmod/Mohan99,310065,0
conf/sigmod/Mohan99,310071,0
conf/sigmod/Mohan99,310062,0
conf/sigmod/Mohan99,304203,0
conf/sigmod/Mohan99,344839,0
conf/sigmod/Mohan99,671509,0
conf/sigmod/Mohan99,671511,0
conf/sigmod/Mohan99,671662,0
conf/sigmod/Mohan99,758373,0
conf/sigmod/Mohan99,765510,0
conf/vldb/Sarawagi99,304199,0
conf/vldb/Sarawagi99,304185,0
conf/vldb/Sarawagi99,671500,1
conf/vldb/DeutschPT99,304569,0
conf/vldb/DeutschPT99,304231,0
conf/vldb/DeutschPT99,304241,0
conf/vldb/DeutschPT99,304220,0
conf/vldb/DeutschPT99,333614,0
conf/vldb/DeutschPT99,310063,0
conf/vldb/DeutschPT99,320249,0
conf/vldb/DeutschPT99,309897,0
conf/vldb/DeutschPT99,304196,0
conf/vldb/DeutschPT99,304186,0
conf/vldb/DeutschPT99,344825,0
conf/vldb/DeutschPT99,344850,0
conf/vldb/DeutschPT99,671352,0
conf/vldb/DeutschPT99,671357,0
conf/vldb/DeutschPT99,671493,0
conf/vldb/DeutschPT99,671502,0
conf/vldb/DeutschPT99,671514,0
conf/vldb/DeutschPT99,671520,0
conf/vldb/DeutschPT99,671667,0
conf/vldb/DeutschPT99,671672,0
conf/vldb/DeutschPT99,756643,1
conf/sigmod/IvesFFLW99,304571,0
conf/sigmod/IvesFFLW99,304570,0
conf/sigmod/IvesFFLW99,304569,0
conf/sigmod/IvesFFLW99,304578,0
conf/sigmod/IvesFFLW99,304581,0
conf/sigmod/IvesFFLW99,304580,0
conf/sigmod/IvesFFLW99,304244,0
conf/sigmod/IvesFFLW99,304218,0
conf/sigmod/IvesFFLW99,304215,0
conf/sigmod/IvesFFLW99,304222,0
conf/sigmod/IvesFFLW99,333615,0
conf/sigmod/IvesFFLW99,310065,0
conf/sigmod/IvesFFLW99,310067,0
conf/sigmod/IvesFFLW99,309852,0
conf/sigmod/IvesFFLW99,309897,0
conf/sigmod/IvesFFLW99,304207,0
conf/sigmod/IvesFFLW99,304209,1
conf/sigmod/IvesFFLW99,304211,0
conf/sigmod/IvesFFLW99,304201,0
conf/sigmod/IvesFFLW99,304202,0
conf/sigmod/IvesFFLW99,304183,0
conf/sigmod/IvesFFLW99,304186,0
